wine_type,wine_category,food_item,food_category,cuisine,description,quality_label,target_bin,split
Syrah/Shiraz,Red,smoked sausage,Smoky BBQ,Spanish,Heuristic pairing assessment.,Poor,0,train
Grenache,Red,charcuterie board,Salty Snack,French,Heuristic pairing assessment.,Neutral,0,train
Madeira,Fortified,lemon tart,Dessert,French,Acidic wine balances acidic food.,Good,1,train
Viognier,White,duck à l’orange,Poultry,Vietnamese,Heuristic pairing assessment.,Poor,0,train
Pinot Noir,Red,citrus salad,Acidic,Argentinian,Acidic wine balances acidic food.,Good,1,train
Sangiovese,Red,citrus salad,Acidic,Moroccan,Acidic wine balances acidic food.,Good,1,train
Pinot Noir,Red,cheese platter,Cheese,Italian,Heuristic pairing assessment.,Neutral,0,train
Grüner Veltliner,White,citrus salad,Acidic,American BBQ,Acidic wine balances acidic food.,Good,1,train
Grenache,Red,bacon burger,Pork,Argentinian,Heuristic pairing assessment.,Good,1,train
Sangiovese,Red,chicken curry,Poultry,German,Heavy wine can dominate poultry.,Poor,0,train
Sauternes,Dessert,lemon tart,Dessert,Spanish,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.,Good,1,train
Cava,Sparkling,charcuterie board,Salty Snack,Italian,Heuristic pairing assessment.,Neutral,0,train
Albariño,White,vegetable curry,Vegetarian,German,Heuristic pairing assessment.,Neutral,0,train
Sangiovese,Red,citrus salad,Acidic,American BBQ,Acidic wine balances acidic food.,Good,1,train
Viognier,White,alfredo pasta,Creamy,German,Richer body matches creamy textures.,Good,1,train
Riesling (dry),White,Thai curry,Spicy,Mexican,Heuristic pairing assessment.,Neutral,0,train
Chardonnay,White,bacon burger,Pork,Vietnamese,Heuristic pairing assessment.,Poor,0,train
Syrah/Shiraz,Red,roast lamb,Red Meat,Thai,Tannic red complements red meat fat.,Excellent,1,train
Viognier,White,roast chicken with herbs,Poultry,Middle Eastern,Lighter wines fit poultry.,Good,1,train
Grüner Veltliner,White,shrimp scampi,Seafood,Japanese,Crisp acidity suits seafood.,Neutral,0,train
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Spanish,Heuristic pairing assessment.,Neutral,0,train
Cabernet Sauvignon,Red,beef stew,Red Meat,Chinese (Sichuan),Heuristic pairing assessment.,Neutral,0,train
Viognier,White,chicken curry,Poultry,Vietnamese,Lighter wines fit poultry.,Good,1,train
Cabernet Sauvignon,Red,grilled burger,Smoky BBQ,Thai,Heuristic pairing assessment.,Neutral,0,train
Gewürztraminer,White,Indian vindaloo,Spicy,Thai,Heuristic pairing assessment.,Neutral,0,train
Pinot Noir,Red,stir-fried tofu,Vegetarian,French,Heuristic pairing assessment.,Neutral,0,train
Merlot,Red,bacon burger,Pork,Thai,Heuristic pairing assessment.,Neutral,0,train
Sangiovese,Red,mushroom risotto,Vegetarian,French,Heuristic pairing assessment.,Good,1,train
Pinot Noir,Red,stir-fried tofu,Vegetarian,Japanese,Heuristic pairing assessment.,Neutral,0,train
Torrontés,White,Thai curry,Spicy,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Sauternes,Dessert,grilled salmon,Seafood,German,Tannic reds clash with delicate seafood.,Neutral,0,train
Nebbiolo,Red,Thai curry,Spicy,French,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,sorbet,Dessert,Ethiopian,Sweet/sparkling pairs with dessert.,Good,1,train
